dadosBasicos.numero,principal,assuntoLocal,codigoNacional,assuntoLocal.codigoAssunto,assuntoLocal.codigoPaiNacional,assuntoLocal.descricao,codigoAssunto,codigoPaiNacional,descricao
50006423320208130620,True,,5952.0,,,,,,
50006423320208130620,True,,5952.0,,,,,,
50006431820208130620,True,,5952.0,,,,,,
50006431820208130620,True,,5952.0,,,,,,
50006440320208130620,True,,5952.0,,,,,,
50006440320208130620,True,,5952.0,,,,,,
50006458520208130620,True,,5952.0,,,,,,
50006458520208130620,True,,5952.0,,,,,,
50006467020208130620,True,,5952.0,,,,,,
50006467020208130620,True,,5952.0,,,,,,
50006475520208130620,True,,5952.0,,,,,,
50006475520208130620,True,,5952.0,,,,,,
50006484020208130620,True,,5952.0,,,,,,
50006484020208130620,True,,5952.0,,,,,,
50006492520208130620,True,,5952.0,,,,,,
50006492520208130620,True,,5952.0,,,,,,
50006501020208130620,True,,5952.0,,,,,,
50006501020208130620,True,,5952.0,,,,,,
50006519220208130620,True,,5952.0,,,,,,
50006519220208130620,True,,5952.0,,,,,,
50006527720208130620,True,,5952.0,,,,,,
50006527720208130620,True,,5952.0,,,,,,
50006536220208130620,True,,5952.0,,,,,,
50006536220208130620,True,,5952.0,,,,,,
50006544720208130620,True,,5952.0,,,,,,
50006544720208130620,True,,5952.0,,,,,,
50006553220208130620,True,,5952.0,,,,,,
50006553220208130620,True,,5952.0,,,,,,
50031937720208130525,True,,10395.0,,,,,,
50031937720208130525,True,,10395.0,,,,,,
50004544320208130522,True,,10395.0,,,,,,
50004544320208130522,True,,10395.0,,,,,,
50004552820208130522,True,,10395.0,,,,,,
50004552820208130522,True,,10395.0,,,,,,
50031954720208130525,True,,5952.0,,,,,,
50031954720208130525,True,,5952.0,,,,,,
50004579520208130522,True,,10395.0,,,,,,
50004579520208130522,True,,10395.0,,,,,,
50005339720208130400,True,,5972.0,,,,,,
50005339720208130400,True,,5972.0,,,,,,
50013512920208130342,True,,10395.0,,,,,,
50013512920208130342,True,,10395.0,,,,,,
50004588020208130522,True,,10395.0,,,,,,
50004588020208130522,True,,10395.0,,,,,,
50008877520208130351,True,,10395.0,,,,,,
50008877520208130351,True,,10395.0,,,,,,
50005356720208130400,True,,5952.0,,,,,,
50005356720208130400,True,,5952.0,,,,,,
50031980220208130525,True,,5951.0,,,,,,
50031980220208130525,True,,5951.0,,,,,,
50005365220208130400,True,,5951.0,,,,,,
50005365220208130400,True,,5951.0,,,,,,
50031998420208130525,True,,5952.0,,,,,,
50031998420208130525,True,,5952.0,,,,,,
50005373720208130400,True,,5972.0,,,,,,
50005373720208130400,True,,5972.0,,,,,,
50005382220208130400,True,,5972.0,,,,,,
50005382220208130400,True,,5972.0,,,,,,
50049489320208130701,True,,5952.0,,,,,,
50049489320208130701,False,,10536.0,,,,,,
50049489320208130701,True,,5952.0,,,,,,
50049489320208130701,False,,10536.0,,,,,,
50049506320208130701,True,,5952.0,,,,,,
50049506320208130701,False,,10536.0,,,,,,
50049506320208130701,True,,5952.0,,,,,,
50049506320208130701,False,,10536.0,,,,,,
50049514820208130701,True,,5952.0,,,,,,
50049514820208130701,False,,10536.0,,,,,,
50049514820208130701,True,,5952.0,,,,,,
50049514820208130701,False,,10536.0,,,,,,
50049523320208130701,True,,5952.0,,,,,,
50049523320208130701,False,,10536.0,,,,,,
50049523320208130701,True,,5952.0,,,,,,
50049523320208130701,False,,10536.0,,,,,,
50049531820208130701,True,,5952.0,,,,,,
50049531820208130701,False,,10536.0,,,,,,
50049531820208130701,True,,5952.0,,,,,,
50049531820208130701,False,,10536.0,,,,,,
50002100820208130331,True,,5952.0,,,,,,
50002100820208130331,False,,5972.0,,,,,,
50002100820208130331,True,,5952.0,,,,,,
50002100820208130331,False,,5972.0,,,,,,
50049540320208130701,True,,5952.0,,,,,,
50049540320208130701,False,,10395.0,,,,,,
50049540320208130701,False,,10536.0,,,,,,
50049540320208130701,True,,5952.0,,,,,,
50049540320208130701,False,,10395.0,,,,,,
50049540320208130701,False,,10536.0,,,,,,
50049558520208130701,True,,5952.0,,,,,,
50049558520208130701,False,,10536.0,,,,,,
50049558520208130701,True,,5952.0,,,,,,
50049558520208130701,False,,10536.0,,,,,,
50002119020208130331,True,,5972.0,,,,,,
50002119020208130331,True,,5972.0,,,,,,
50002127520208130331,True,,5972.0,,,,,,
50002127520208130331,True,,5972.0,,,,,,
50012811220208130148,True,,5952.0,,,,,,
50012811220208130148,True,,5952.0,,,,,,
50002136020208130331,True,,5952.0,,,,,,
50002136020208130331,False,,5972.0,,,,,,
50002136020208130331,True,,5952.0,,,,,,
50002136020208130331,False,,5972.0,,,,,,
50002153020208130331,True,,5952.0,,,,,,
50002153020208130331,False,,5972.0,,,,,,
50002153020208130331,True,,5952.0,,,,,,
50002153020208130331,False,,5972.0,,,,,,
50003191420208130172,True,,5952.0,,,,,,
50003191420208130172,False,,5972.0,,,,,,
50003191420208130172,True,,5952.0,,,,,,
50003191420208130172,False,,5972.0,,,,,,
50002161520208130331,True,,5952.0,,,,,,
50002161520208130331,False,,5972.0,,,,,,
50002161520208130331,True,,5952.0,,,,,,
50002161520208130331,False,,5972.0,,,,,,
50002179720208130331,True,,5952.0,,,,,,
50002179720208130331,False,,5972.0,,,,,,
50002179720208130331,True,,5952.0,,,,,,
50002179720208130331,False,,5972.0,,,,,,
50032739520208130313,True,,5952.0,,,,,,
50032739520208130313,True,,5952.0,,,,,,
50012829420208130148,True,,5952.0,,,,,,
50012829420208130148,True,,5952.0,,,,,,
50002188220208130331,True,,5952.0,,,,,,
50002188220208130331,False,,5972.0,,,,,,
50002188220208130331,True,,5952.0,,,,,,
50002188220208130331,False,,5972.0,,,,,,
50032756520208130313,True,,5952.0,,,,,,
50032756520208130313,True,,5952.0,,,,,,
50002196720208130331,True,,5972.0,,,,,,
50002196720208130331,True,,5972.0,,,,,,
50005531220208130005,True,,10887.0,,,,,,
50005531220208130005,True,,10887.0,,,,,,
50002205220208130331,True,,5952.0,,,,,,
50002205220208130331,False,,5972.0,,,,,,
50002205220208130331,True,,5952.0,,,,,,
50002205220208130331,False,,5972.0,,,,,,
50032773520208130313,True,,5952.0,,,,,,
50032773520208130313,True,,5952.0,,,,,,
50005549420208130005,True,,10887.0,,,,,,
50005549420208130005,True,,10887.0,,,,,,
50019697220208130471,True,,10395.0,,,,,,
50019697220208130471,True,,10395.0,,,,,,
50005557920208130005,True,,10887.0,,,,,,
50005557920208130005,True,,10887.0,,,,,,
50012837920208130148,True,,5952.0,,,,,,
50012837920208130148,True,,5952.0,,,,,,
50019705720208130471,True,,10395.0,,,,,,
50019705720208130471,True,,10395.0,,,,,,
50005408920208130400,True,,5972.0,,,,,,
50005408920208130400,True,,5972.0,,,,,,
50019714220208130471,True,,10395.0,,,,,,
50019714220208130471,True,,10395.0,,,,,,
50005566420208130005,True,,10887.0,,,,,,
50005566420208130005,True,,10887.0,,,,,,
50019722720208130471,True,,10395.0,,,,,,
50019722720208130471,True,,10395.0,,,,,,
50012854920208130148,True,,5952.0,,,,,,
50012854920208130148,True,,5952.0,,,,,,
50043022820208130105,True,,5952.0,,,,,,
50043022820208130105,False,,10536.0,,,,,,
50043022820208130105,True,,5952.0,,,,,,
50043022820208130105,False,,10536.0,,,,,,
50005417420208130400,True,,5972.0,,,,,,
50005417420208130400,True,,5972.0,,,,,,
50005574920208130005,True,,10887.0,,,,,,
50005574920208130005,True,,10887.0,,,,,,
50019731220208130471,True,,10395.0,,,,,,
50019731220208130471,True,,10395.0,,,,,,
50032851220208130313,True,,5952.0,,,,,,
50032851220208130313,True,,5952.0,,,,,,
50019749420208130471,True,,10395.0,,,,,,
50019749420208130471,True,,10395.0,,,,,,
50005583420208130005,True,,10887.0,,,,,,
50005583420208130005,True,,10887.0,,,,,,
50019757920208130471,True,,10395.0,,,,,,
50019757920208130471,True,,10395.0,,,,,,
50043031320208130105,True,,5952.0,,,,,,
50043031320208130105,True,,5952.0,,,,,,
50005425920208130400,True,,5984.0,,,,,,
50005425920208130400,True,,5984.0,,,,,,
50019774920208130471,True,,10395.0,,,,,,
50049670220208130701,True,,5951.0,,,,,,
50049670220208130701,True,,5951.0,,,,,,
50005591920208130005,True,,10887.0,,,,,,
50005591920208130005,True,,10887.0,,,,,,
50004080620208130441,True,,10887.0,,,,,,
50004080620208130441,False,,5951.0,,,,,,
50004080620208130441,True,,10887.0,,,,,,
50004080620208130441,False,,5951.0,,,,,,
50019783420208130471,True,,10395.0,,,,,,
50019783420208130471,True,,10395.0,,,,,,
50005434420208130400,True,,5984.0,,,,,,
50005434420208130400,True,,5984.0,,,,,,
50030338520208130223,True,,5952.0,,,,,,
50030338520208130223,True,,5952.0,,,,,,
50005442920208130400,True,,5972.0,,,,,,
50005442920208130400,True,,5972.0,,,,,,
50005618620208130005,True,,10887.0,,,,,,
50005618620208130005,True,,10887.0,,,,,,
50011815120208130344,True,,5951.0,,,,,,
50011815120208130344,True,,5951.0,,,,,,
50049705420208130701,True,,5951.0,,,,,,
50032886420208130313,True,,5952.0,,,,,,
50032886420208130313,True,,5952.0,,,,,,
